City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Gornopravdinsk,RU,2021-05-25 19:55:42,60.05,69.9,54.91,77,100,5.88
255,Garden City,US,2021-05-25 19:55:42,42.3256,-83.331,89.87,43,100,1.99
256,Coihaique,CL,2021-05-25 19:55:42,-45.5752,-72.0662,44.55,57,90,3.44
257,Goderich,CA,2021-05-25 19:55:42,43.7501,-81.7165,85.03,68,47,14.99
258,Kudinovo,RU,2021-05-25 19:55:43,54.9994,36.2533,55.45,76,100,1.88
259,Ridgecrest,US,2021-05-25 19:52:13,35.6225,-117.6709,93.02,11,75,5.01
260,Bengkulu,ID,2021-05-25 19:55:43,-3.8004,102.2655,77.16,86,53,3.89
261,Lorengau,PG,2021-05-25 19:55:43,-2.0226,147.2712,77.43,94,100,6.08
262,Khani,GE,2021-05-25 19:55:43,41.9563,42.9566,53.17,98,81,1.36
263,Galveston,US,2021-05-25 19:55:44,29.3669,-94.9669,84.31,78,30,7.0
264,Mecca,SA,2021-05-25 19:54:36,21.4267,39.8261,89.58,35,74,3.29
265,Opuwo,NA,2021-05-25 19:55:44,-18.0607,13.84,63.48,39,0,8.66
266,Chapais,CA,2021-05-25 19:55:44,49.7834,-74.8492,60.58,93,100,11.77
267,Develi,TR,2021-05-25 19:55:44,38.3906,35.4922,58.35,50,0,2.93
268,Marzuq,YE,2021-05-25 19:55:45,14.4,46.4667,79.65,53,0,5.66
269,Belmonte,BR,2021-05-25 19:55:45,-15.8631,-38.8828,79.3,73,3,6.71
270,Valparaiso,CL,2021-05-25 19:55:45,-33.0393,-71.6273,75.43,37,0,12.66
271,Mayskiy,RU,2021-05-25 19:55:45,47.6931,40.1025,65.44,80,30,5.88
272,Balykshi,KZ,2021-05-25 19:55:46,47.0667,51.8667,75.2,38,0,11.18
273,Norman Wells,CA,2021-05-25 19:55:46,65.282,-126.8329,57.24,26,20,13.8
274,Muros,ES,2021-05-25 19:55:46,42.7762,-9.0603,59.09,60,100,11.83
275,Danville,US,2021-05-25 19:55:24,36.586,-79.395,86.34,72,54,3.0
276,Troitsko-Pechorsk,RU,2021-05-25 19:55:46,62.7084,56.1964,49.3,90,100,5.75
277,Tungor,RU,2021-05-25 19:55:47,53.3808,142.9564,33.66,90,100,6.29
278,Santa Rosa,PH,2021-05-25 19:55:47,14.3122,121.1114,83.91,78,21,1.59
279,Coos Bay,US,2021-05-25 19:54:50,43.3665,-124.2179,62.02,81,75,11.5
280,Grindavik,IS,2021-05-25 19:55:47,63.8424,-22.4338,52.56,76,75,26.57
281,Jampur,PK,2021-05-25 19:55:47,29.6441,70.5954,94.73,18,2,5.53
282,Bilma,NE,2021-05-25 19:55:48,18.6853,12.9164,90.19,7,0,10.2
283,Salekhard,RU,2021-05-25 19:55:48,66.53,66.6019,38.43,95,100,9.62
284,Chiang Klang,TH,2021-05-25 19:55:48,19.2938,100.8617,75.36,89,47,1.23
